year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
3,650.1209936758376,20.45889101338432,0.0860152941329937,0.0860152941329937,0.0860152941329937,21,21,21,#151515
3,758.4744926218106,21.797323135755256,0.09481479135648069,0.09481479135648069,0.09481479135648069,24,24,24,#181818
3,866.8279915677834,23.135755258126196,0.10441165355240582,0.10441165355240582,0.10441165355240582,26,26,26,#1a1a1a
3,975.1814905137563,26.195028680688335,0.12961155004400937,0.12961155004400937,0.12961155004400937,33,33,33,#212121
3,1083.5349894597293,27.151051625239006,0.13848673960096142,0.13848673960096142,0.13848673960096142,35,35,35,#232323
3,1191.8884884057022,29.44550669216061,0.16187274202608554,0.16187274202608554,0.16187274202608554,41,41,41,#292929
3,1300.241987351675,30.97514340344168,0.17916888521462096,0.17916888521462096,0.17916888521462096,45,45,45,#2d2d2d
3,1408.595486297648,33.07839388145315,0.2052614778548451,0.2052614778548451,0.2052614778548451,52,52,52,#343434
3,1516.948985243621,35.18164435946463,0.2340703791061944,0.2340703791061944,0.2340703791061944,59,59,59,#3b3b3b
3,1625.302484189594,35.75525812619503,0.2423976012313194,0.2423976012313194,0.2423976012313194,61,61,61,#3d3d3d
3,1733.6559831355669,36.32887189292543,0.2509240176666808,0.2509240176666808,0.2509240176666808,63,63,63,#3f3f3f
3,1842.0094820815398,37.66730401529637,0.27158106249002606,0.27158106249002606,0.27158106249002606,69,69,69,#454545
3,1950.3629810275127,39.19694072657744,0.2964532610048289,0.2964532610048289,0.2964532610048289,75,75,75,#4b4b4b
3,2058.7164799734855,39.961759082217974,0.3093714912434058,0.3093714912434058,0.3093714912434058,78,78,78,#4e4e4e
3,2167.0699789194587,40.91778202676864,0.32594623400023837,0.32594623400023837,0.32594623400023837,83,83,83,#535353
3,2275.4234778654313,44.168260038240916,0.3854356956853768,0.3854356956853768,0.3854356956853768,98,98,98,#626262
3,2383.7769768114044,45.506692160611856,0.41108917078628665,0.41108917078628665,0.41108917078628665,104,104,104,#686868
3,2492.1304757573776,47.22753346080306,0.4447768712759641,0.4447768712759641,0.4447768712759641,113,113,113,#717171
3,2600.48397470335,48.18355640535373,0.463734921893618,0.463734921893618,0.463734921893618,118,118,118,#767676
3,2708.8374736493233,48.94837476099426,0.4789798918730105,0.4789798918730105,0.4789798918730105,122,122,122,#7a7a7a
3,2817.190972595296,50.669216061185466,0.5133811252490361,0.5133811252490361,0.5133811252490361,130,130,130,#828282
3,2925.544471541269,52.19885277246654,0.5438640041822204,0.5438640041822204,0.5438640041822204,138,138,138,#8a8a8a
3,3033.897970487242,53.72848948374761,0.5740217890597455,0.5740217890597455,0.5740217890597455,146,146,146,#929292
3,3142.251469433215,55.640535372848944,0.6109346872119038,0.6109346872119038,0.6109346872119038,155,155,155,#9b9b9b
3,3250.604968379188,57.170172084130016,0.6395966141209984,0.6395966141209984,0.6395966141209984,163,163,163,#a3a3a3
