year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.6666666666666666,207.69090743722444,60.0,3,5,total_yards_adj
0.6666666666666666,268.0478397708766,60.0,3,5,total_yards_adj
0.6666666666666666,328.4047721045287,40.0,3,5,total_yards_adj
0.6666666666666666,388.76170443818086,40.0,3,5,total_yards_adj
0.6666666666666666,449.118636771833,40.0,3,5,total_yards_adj
0.6666666666666666,509.47556910548514,40.0,3,5,total_yards_adj
0.6666666666666666,569.8325014391373,40.0,3,5,total_yards_adj
0.6666666666666666,630.1894337727895,20.0,3,5,total_yards_adj
0.6666666666666666,690.5463661064416,20.0,3,5,total_yards_adj
0.6666666666666666,750.9032984400937,20.0,3,5,total_yards_adj
0.6666666666666666,811.2602307737459,20.0,3,5,total_yards_adj
0.6666666666666666,871.617163107398,20.0,3,5,total_yards_adj
0.6666666666666666,931.9740954410502,20.0,3,5,total_yards_adj
0.6666666666666666,992.3310277747023,20.0,3,5,total_yards_adj
0.6666666666666666,1052.6879601083547,20.0,3,5,total_yards_adj
0.6666666666666666,1113.0448924420068,20.0,3,5,total_yards_adj
0.6666666666666666,1173.401824775659,20.0,3,5,total_yards_adj
0.6666666666666666,1233.758757109311,20.0,3,5,total_yards_adj
0.6666666666666666,1294.1156894429632,20.0,3,5,total_yards_adj
0.6666666666666666,1354.4726217766154,20.0,3,5,total_yards_adj
0.6666666666666666,1414.8295541102675,20.0,3,5,total_yards_adj
0.6666666666666666,1475.1864864439196,20.0,3,5,total_yards_adj
0.6666666666666666,1535.5434187775718,20.0,3,5,total_yards_adj
0.6666666666666666,1595.900351111224,20.0,3,5,total_yards_adj
0.6666666666666666,1656.257283444876,0.0,3,5,total_yards_adj
0.6666666666666666,1716.6142157785282,0.0,3,5,total_yards_adj
0.6666666666666666,1776.9711481121803,0.0,3,5,total_yards_adj
0.6666666666666666,1837.3280804458325,0.0,3,5,total_yards_adj
0.6666666666666666,1897.6850127794846,0.0,3,5,total_yards_adj
0.6666666666666666,1958.0419451131368,0.0,3,5,total_yards_adj
