Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Philip Rivers,Chargers,2009,6,,"$91,800,000 ","$15,300,000 ","$33,350,000 ",,12.40%,,"$208,378,537 ","$34,729,756 ","$75,701,789 "
Carson Palmer,Cardinals,2014,3,,"$49,500,000 ","$16,500,000 ","$14,235,294 ",,12.40%,,"$103,912,782 ","$34,637,594 ","$29,883,414 "
Brett Favre,Vikings,2010,1,,"$16,000,000 ","$16,000,000 ","$4,400,000 ",,12.40%,,"$34,629,457 ","$34,629,457 ","$9,523,101 "
Tom Brady,Patriots,2019,1,,"$23,000,000 ","$23,000,000 ","$22,000,000 ",,12.20%,,"$34,121,148 ","$34,121,148 ","$32,637,620 "
Andy Dalton,Bengals,2014,6,,"$96,000,000 ","$16,000,000 ","$17,000,000 ",,12.00%,,"$201,527,820 ","$33,587,970 ","$35,687,218 "
Sam Darnold,Seahawks,2025,3,,"$100,500,000 ","$33,500,000 ","$37,500,000 ",,12.00%,,"$100,500,000 ","$33,500,000 ","$37,500,000 "
Tim Couch,Browns,1999,7,,"$47,950,000 ","$6,850,000 ","$12,250,000 ",,12.00%,,"$233,690,127 ","$33,384,304 ","$59,701,857 "
Peyton Manning,Broncos,2015,2,,"$34,000,000 ","$17,000,000 ","$15,000,000 ",,11.90%,,"$66,253,490 ","$33,126,745 ","$29,229,481 "
Donovan McNabb,Eagles,2002,8,,"$67,188,235 ","$8,398,529 ","$13,500,000 ",,11.80%,,"$263,835,322 ","$32,979,414 ","$53,011,913 "
Rob Johnson,Bills,1998,4,,"$24,650,000 ","$6,162,500 ","$8,500,000 ",,11.80%,,"$131,371,306 ","$32,842,827 ","$45,300,450 "
Jay Cutler,Bears,2009,2,,"$28,912,499 ","$14,456,250 ","$20,000,000 ",,11.80%,,"$65,629,022 ","$32,814,512 ","$45,398,374 "
Nick Foles,JAX/CHI,2019,4,,"$88,000,000 ","$22,000,000 ","$45,125,000 ",,11.70%,,"$130,550,478 ","$32,637,620 ","$66,944,208 "
Brock Osweiler,Texans,2016,4,,"$72,000,000 ","$18,000,000 ","$37,000,000 ",,11.60%,,"$129,467,379 ","$32,366,845 ","$66,531,848 "
Tyrod Taylor,Bills,2016,5,,"$90,000,000 ","$18,000,000 ","$9,500,000 ",,11.60%,,"$161,834,224 ","$32,366,845 ","$17,082,501 "
Brock Osweiler,Browns,2016,4,,"$72,000,000 ","$18,000,000 ","$37,000,000 ",,11.60%,,"$129,467,379 ","$32,366,845 ","$66,531,848 "
Donovan McNabb,Commanders,2010,5,,"$74,250,000 ","$14,850,000 ","$5,000,000 ",,11.50%,,"$160,702,326 ","$32,140,465 ","$10,821,705 "
Chad Pennington,Jets,2004,7,,"$64,198,000 ","$9,171,143 ","$18,000,000 ",,11.40%,,"$222,432,821 ","$31,776,118 ","$62,366,285 "
Sam Bradford,Cardinals,2018,2,,"$40,000,000 ","$20,000,000 ","$15,000,000 ",,11.30%,,"$63,024,831 ","$31,512,415 ","$23,634,312 "
Sam Bradford,MIN/PHI,2016,2,,"$35,000,000 ","$17,500,000 ","$22,000,000 ",,11.30%,,"$62,935,532 ","$31,467,766 ","$39,559,477 "
Mark Sanchez,Jets,2012,3,,"$40,475,000 ","$13,491,667 ","$11,250,000 ",,11.20%,,"$93,703,317 ","$31,234,440 ","$26,044,776 "
Mark Brunell,Jaguars,2001,4,,"$30,000,000 ","$7,500,000 ","$8,000,000 ",,11.10%,,"$124,263,779 ","$31,065,945 ","$33,137,008 "
Geno Smith,LV/SEA,2023,3,,"$75,000,000 ","$25,000,000 ","$27,300,000 ",,11.10%,,"$93,149,466 ","$31,049,822 ","$33,906,406 "
Brett Favre,Packers,1994,5,,"$19,000,000 ","$3,800,000 ","$2,500,000 ",,11.00%,,"$153,282,478 ","$30,656,496 ","$20,168,747 "
Aaron Rodgers,Packers,2008,5,,"$63,520,000 ","$12,704,000 ","$20,000,000 ",,11.00%,,"$152,886,069 ","$30,577,214 ","$48,137,931 "
Jimmy Garoppolo,Raiders,2023,3,,"$72,750,000 ","$24,250,000 ","$33,750,000 ",,10.80%,,"$90,354,982 ","$30,118,327 ","$41,917,260 "
Kurt Warner,Rams,2000,7,,"$46,500,000 ","$6,642,857 ","$11,500,000 ",,10.70%,,"$208,820,691 ","$29,831,527 ","$51,643,827 "
Teddy Bridgewater,Panthers,2020,3,,"$63,000,000 ","$21,000,000 ","$33,000,000 ",,10.60%,,"$88,746,720 ","$29,582,240 ","$46,486,377 "
Steve McNair,Titans,1995,7,,"$27,441,750 ","$3,920,250 ","$12,181,000 ",,10.60%,,"$206,515,811 ","$29,502,259 ","$91,669,412 "
Tom Brady,Patriots,2002,4,,"$29,625,000 ","$7,406,250 ","$9,500,000 ",,10.40%,,"$116,331,697 ","$29,082,924 ","$37,304,679 "
Tony Romo,Cowboys,2007,6,,"$67,500,000 ","$11,250,000 ","$11,500,000 ",,10.30%,,"$172,899,083 ","$28,816,514 ","$29,456,881 "
Kevin Kolb,Cardinals,2011,5,,"$62,108,000 ","$12,421,600 ","$12,000,000 ",,10.30%,,"$144,054,443 ","$28,810,889 ","$27,833,022 "
Brett Favre,Vikings,2009,2,,"$25,000,000 ","$12,500,000 ","$6,000,000 ",,10.20%,,"$56,747,967 ","$28,373,984 ","$13,619,512 "
Case Keenum,Broncos,2018,2,,"$36,000,000 ","$18,000,000 ","$25,000,000 ",,10.20%,,"$56,722,348 ","$28,361,174 ","$39,390,519 "
Sam Bradford,Rams,2010,5,,"$78,000,000 ","$13,000,000 ","$50,000,000 ",,10.10%,,"$168,818,605 ","$28,136,434 ","$108,217,054 "
Colin Kaepernick,49ers,2016,2,,"$31,200,000 ","$15,600,000 ","$13,275,000 ",,10.00%,,"$56,102,531 ","$28,051,266 ","$23,870,548 "
Eli Manning,Giants,2004,6,,"$47,990,000 ","$7,998,333 ","$20,004,000 ",,9.90%,,"$166,275,446 ","$27,712,573 ","$69,309,732 "
Blake Bortles,Jaguars,2018,2,,"$34,947,000 ","$17,483,500 ","$26,500,000 ",,9.90%,,"$55,063,219 ","$27,547,366 ","$41,753,950 "
Donovan McNabb,Eagles,1999,7,,"$39,550,000 ","$5,650,000 ","$11,300,000 ",,9.90%,,"$192,751,711 ","$27,535,959 ","$55,071,917 "
Donovan McNabb,Eagles,2009,2,,"$24,200,000 ","$12,100,000 ","$15,500,000 ",,9.80%,,"$54,932,033 ","$27,466,016 ","$35,183,740 "
Drew Brees,Saints,2006,5,,"$60,000,000 ","$10,000,000 ","$8,000,000 ",,9.80%,,"$164,235,294 ","$27,372,549 ","$21,898,039 "
David Carr,Texans,2002,7,,"$48,750,000 ","$6,964,286 ","$14,000,000 ",,9.80%,,"$191,431,907 ","$27,347,416 ","$54,975,317 "
Matt Stafford,Lions,2009,6,,"$72,000,000 ","$12,000,000 ","$17,050,000 ",,9.80%,,"$163,434,146 ","$27,239,024 ","$38,702,114 "
Matt Ryan,Falcons,2008,6,,"$67,500,000 ","$11,250,000 ","$34,750,000 ",,9.70%,,"$162,465,517 ","$27,077,586 ","$83,639,655 "
Alex Smith,49ers,2005,6,,"$49,500,000 ","$8,250,000 ","$24,000,000 ",,9.60%,,"$161,642,105 ","$26,940,351 ","$78,371,930 "
Brian Griese,Broncos,2001,6,,"$39,000,000 ","$6,500,000 ","$12,600,000 ",,9.60%,,"$161,542,912 ","$26,923,819 ","$52,190,787 "
Kevin Kolb,Eagles,2010,1,,"$12,222,000 ","$12,222,000 ","$12,222,000 ",,9.50%,,"$26,452,577 ","$26,452,577 ","$26,452,577 "
Drew Brees,Chargers,2005,1,,"$8,078,000 ","$8,078,000 ","$8,078,000 ",,9.40%,,"$26,378,685 ","$26,378,685 ","$26,378,685 "
Matt Hasselbeck,Seahawks,2005,6,,"$48,000,000 ","$8,000,000 ","$17,000,000 ",,9.40%,,"$156,743,860 ","$26,123,977 ","$55,513,450 "
Kurt Warner,Cardinals,2009,2,,"$23,000,000 ","$11,500,000 ","$19,000,000 ",,9.30%,,"$52,208,130 ","$26,104,065 ","$43,128,455 "
JaMarcus Russell,Raiders,2007,6,,"$61,000,000 ","$10,166,667 ","$29,019,120 ",,9.30%,,"$156,249,541 ","$26,041,591 ","$74,331,544 "
Sam Bradford,Eagles,2010,1,,"$78,000,000 ","$12,000,000 ","$50,000,000 ",,9.30%,,"$168,818,605 ","$25,972,093 ","$108,217,054 "
Tom Brady,Patriots,2013,5,,"$57,000,000 ","$11,400,000 ","$33,000,000 ",,9.30%,,"$129,385,366 ","$25,877,073 ","$74,907,317 "
Michael Vick,Falcons,2001,6,,"$37,300,000 ","$6,216,667 ","$22,500,000 ",,9.20%,,"$154,501,298 ","$25,750,218 ","$93,197,834 "
Tyrod Taylor,BUF/CLE,2017,2,,"$30,500,000 ","$15,250,000 ","$15,500,000 ",,9.10%,,"$50,991,617 ","$25,495,808 ","$25,913,772 "
Mike Glennon,Bears,2017,3,,"$45,000,000 ","$15,000,000 ","$18,500,000 ",,9.00%,,"$75,233,533 ","$25,077,844 ","$30,929,341 "
Carson Palmer,Raiders,2011,4,,"$43,000,000 ","$10,750,000 ","$5,000,000 ",,8.90%,,"$99,734,995 ","$24,933,749 ","$11,597,092 "
Carson Palmer,Bengals,2003,6,,"$40,000,000 ","$6,666,667 ","$14,010,000 ",,8.90%,,"$148,892,770 ","$24,815,463 ","$52,149,693 "
Jason Campbell,Commanders,2005,5,,"$7,500,000 ","$7,500,000 ","$4,970,000 ",,8.80%,,"$24,491,228 ","$24,491,228 ","$16,229,520 "
Nick Foles,Rams,2015,2,,"$25,000,000 ","$12,250,000 ","$12,042,000 ",,8.50%,,"$48,715,801 ","$23,870,743 ","$23,465,427 "
